CustomerKey|FirstName|LastName|BirthDate|MaritalStatus|Gender|YearlyIncome|EnglishEducation|EnglishOccupation|NumberCarsOwned|Order_Count|SalesAmount
11163|Gabriel|Wang|1980-06-18|M|M|40000|Partial College|Skilled Manual|1|4|46.27
11164|Devin|Brooks|1979-11-02|S|M|40000|Partial College|Skilled Manual|1|6|144.76
11203|Luis|Diaz|1959-08-18|M|M|40000|High School|Professional|2|32|801.77
11204|Destiny|Rivera|1953-11-29|M|F|40000|High School|Professional|2|4|77.27
11205|Abby|Fernandez|1954-01-21|M|F|40000|High School|Professional|2|2|37.29
11211|Samantha|Russell|1960-10-08|M|F|40000|High School|Professional|2|33|793.55
11212|Chloe|Campbell|1955-05-05|M|F|40000|High School|Professional|2|33|827.19
11215|Ana|Perry|1961-06-17|M|F|40000|Partial High School|Skilled Manual|2|32|1155.52
11251|Xavier|Long|1938-01-01|S|M|30000|High School|Professional|2|4|2318.96
11274|Kyle|Foster|1939-10-10|M|M|50000|Graduate Degree|Management|2|4|5888.24
11296|Haley|Richardson|1941-04-05|S|F|50000|Graduate Degree|Management|2|4|5897.53
11317|Victoria|Russell|1963-09-14|S|F|40000|Partial College|Professional|2|2|5873.26
11318|Jessica|Wilson|1958-04-25|S|F|40000|Partial College|Professional|2|4|44.57
11332|Deanna|Ramos|1968-04-02|S|F|10000|Graduate Degree|Manual|0|3|5754.97
11333|Emily|Miller|1968-01-07|M|F|20000|Graduate Degree|Clerical|0|6|8163.31
11334|Nicole|Brown|1966-09-19|M|F|10000|Bachelors|Manual|0|6|8154.02
11335|Carla|Raman|1977-12-18|M|F|10000|Bachelors|Manual|0|4|5744.25
11336|Shaun|Raji|1973-03-08|M|M|20000|Graduate Degree|Clerical|0|5|4441.3796
11337|Jerome|Romero|1967-03-21|M|M|10000|Bachelors|Manual|0|8|8162
11338|Frank|Navarro|1972-08-06|M|M|20000|Graduate Degree|Clerical|0|5|5744.95
11339|Dennis|She|1967-01-05|S|M|20000|Graduate Degree|Clerical|0|3|4379.0782
11340|Melody|Munoz|1947-04-03|M|F|10000|Graduate Degree|Clerical|0|5|4413.0582
11341|Randy|Zeng|1942-02-18|M|M|20000|Graduate Degree|Clerical|0|8|8192
11342|Marshall|Wang|1973-03-07|M|M|30000|Graduate Degree|Clerical|0|3|48.97
11343|Arthur|Carlson|1975-03-09|M|M|10000|Bachelors|Manual|0|9|8221.99
11344|Jessie|Jimenez|1963-01-21|M|F|10000|Partial College|Manual|0|7|8119.81
11345|Robin|Ramos|1962-09-09|S|F|10000|Partial College|Manual|0|3|4404.0882
11346|Deanna|Gutierrez|1966-05-18|S|F|10000|Partial College|Manual|1|7|4503.0482
11347|Roy|Navarro|1972-06-17|M|M|10000|Partial College|Manual|1|2|13.98
11348|Shawn|Rai|1961-03-21|M|M|10000|Partial College|Manual|1|3|67.97
11349|Mindy|Luo|1965-08-30|M|F|10000|Partial College|Manual|1|3|67.97
11350|Cara|Zhou|1942-07-14|M|F|30000|Graduate Degree|Clerical|0|3|38.47
11351|Anne|Ramos|1950-04-02|S|F|20000|Bachelors|Clerical|0|5|8068.03
11352|Raymond|Rodriguez|1945-09-04|M|M|10000|Partial College|Manual|1|2|13.98
11353|Carrie|Ortega|1946-12-09|S|F|30000|Bachelors|Clerical|0|6|8078.02
11354|Deanna|Suarez|1947-08-23|M|F|20000|Partial College|Manual|0|3|22.97
11355|Roberto|Gutierrez|1948-06-26|M|M|40000|Graduate Degree|Clerical|0|2|13.98
11356|Terrence|Carson|1985-11-24|S|M|10000|Partial College|Manual|1|8|5069.29
11357|Ramon|Ye|1984-09-19|S|M|10000|Partial College|Manual|1|5|4943.8
11358|Cynthia|Malhotra|1984-05-10|S|F|10000|Partial College|Manual|1|8|5034.78
11359|Jarrod|Prasad|1984-03-03|S|M|10000|Partial College|Manual|1|8|4960.07
11360|Tyrone|Serrano|1984-01-30|S|M|10000|Partial College|Manual|1|6|5025.8
11361|Cindy|Ramos|1982-10-26|M|F|10000|High School|Manual|2|4|114.96
11362|Damien|Shan|1983-05-11|M|M|10000|High School|Manual|2|3|77.27
11363|Julian|Ross|1983-04-19|S|M|10000|High School|Manual|2|5|5035.81
11364|Jennifer|Collins|1985-03-22|S|F|10000|High School|Manual|0|4|4921.82
11365|Brittney|Sun|1984-12-06|S|F|10000|High School|Manual|0|7|5024.79
11366|Virginia|Patel|1985-04-23|M|F|20000|Bachelors|Clerical|0|3|77.27
11367|Calvin|Nara|1984-08-21|M|M|20000|Bachelors|Clerical|0|4|86.26
11368|Edward|Miller|1984-05-24|S|M|10000|High School|Manual|0|11|5106.24
11369|Ashlee|Tang|1984-02-01|M|F|20000|Bachelors|Clerical|0|4|118.96
11370|Alicia|Xu|1983-09-29|M|F|20000|Bachelors|Clerical|0|3|79.97
11371|Lacey|Jai|1983-11-24|M|F|20000|Bachelors|Clerical|0|2|74.98
11372|Wendy|Romero|1983-11-12|S|F|20000|Bachelors|Clerical|0|5|4965.81
11373|Carly|Luo|1954-09-16|M|F|30000|Bachelors|Clerical|0|3|38.47
11374|Jimmy|Ortega|1948-12-25|S|M|30000|Bachelors|Clerical|0|3|68.97
11375|Francisco|Martinez|1948-11-05|M|M|30000|Bachelors|Clerical|0|2|13.98
11376|Lance|Vazquez|1948-12-07|S|M|40000|Graduate Degree|Clerical|0|2|78.48
11377|David|Robinett|1966-08-23|M|M|30000|Graduate Degree|Clerical|0|3|83.97
11378|Shannon|Liang|1965-11-19|S|F|10000|High School|Manual|1|4|4436.3896
11379|Gary|Vazquez|1976-05-13|M|M|10000|High School|Manual|1|4|4426.0582
11380|Mitchell|Kumar|1964-08-29|S|M|20000|Partial College|Manual|1|6|5837.91
11381|Meredith|Raman|1970-08-18|M|F|20000|Partial College|Manual|1|5|8161.02
11382|Edward|Patterson|1974-07-15|M|M|20000|Partial College|Manual|1|2|4344.0882
11383|Marie|Gill|1966-02-25|M|F|30000|Graduate Degree|Clerical|0|3|48.97
11384|Tiffany|Wang|1971-10-13|M|F|30000|Bachelors|Clerical|0|3|48.97
11385|Miguel|Allen|1971-08-08|S|M|30000|Bachelors|Clerical|0|2|13.98
11386|Jaclyn|Cai|1971-11-02|M|F|30000|Bachelors|Clerical|0|3|68.97
11387|Megan|Ramirez|1964-11-29|S|F|40000|Graduate Degree|Clerical|0|6|6958.8
11388|Joseph|Martin|1965-01-20|M|M|40000|Graduate Degree|Clerical|0|7|6986.75
11389|Karl|Shan|1981-04-20|S|M|10000|High School|Manual|1|3|68.97
11390|Christine|Raji|1976-04-17|S|F|10000|High School|Manual|1|3|48.97
11391|Lindsay|Xie|1976-06-25|S|F|10000|High School|Manual|0|2|33.98
11392|Willie|Zhao|1981-02-03|S|M|10000|High School|Manual|0|1|28.99
11393|Kurt|Pal|1974-07-17|S|M|10000|High School|Manual|0|2|13.98
11394|George|McDonald|1975-04-22|S|M|10000|High School|Manual|0|7|8161.97
11395|Beth|Gutierrez|1976-04-16|S|F|30000|Bachelors|Clerical|0|3|5729.97
11396|Ian|Lopez|1975-04-04|M|M|10000|High School|Manual|1|1|28.99
11397|Latoya|Shan|1974-12-02|S|F|20000|Partial College|Manual|1|3|38.47
11398|Colin|Nath|1975-03-09|S|M|30000|Bachelors|Clerical|0|4|8114.04
11399|Brenda|Mehta|1975-02-01|S|F|30000|Bachelors|Clerical|0|2|13.98
11400|Franklin|Raji|1980-04-15|S|M|40000|Graduate Degree|Clerical|0|8|6967.78
11401|Linda|Navarro|1975-02-23|M|F|40000|Graduate Degree|Clerical|0|6|5020.8696
11402|Kelli|Cai|1975-05-20|M|F|40000|Graduate Degree|Clerical|0|10|5059.3296
11403|Nancy|Schmidt|1980-01-06|S|F|40000|Graduate Degree|Clerical|0|9|5033.1396
11404|Megan|Taylor|1957-06-30|S|F|10000|Partial College|Manual|2|2|33.98
11405|Bonnie|Goel|1957-08-16|S|F|10000|Partial College|Manual|2|1|53.99
11406|Latoya|Xu|1957-12-31|M|F|20000|Partial College|Manual|1|6|4415.0382
11407|Mario|She|1957-09-30|M|M|20000|Partial College|Manual|1|1|53.99
11408|Darren|Gill|1964-05-10|M|M|10000|High School|Manual|2|3|34.47
11409|Jacqueline|Hayes|1979-03-02|S|F|10000|High School|Manual|1|5|4444.0682
11410|Maurice|Goel|1974-02-22|M|M|20000|Partial College|Manual|0|5|4464.0682
11468|Jaclyn|Andersen|1980-12-15|M|F|40000|Bachelors|Skilled Manual|0|4|6959.82
11469|Edwin|Raji|1978-10-14|S|M|10000|Partial High School|Manual|2|2|25.48
11470|Jay|Suarez|1979-03-25|S|M|20000|Partial High School|Manual|2|2|4344.0882
11471|Latasha|Suarez|1979-03-25|S|F|30000|Partial College|Clerical|1|1|53.99
11473|Grace|Henderson|1986-01-30|S|F|20000|Partial High School|Manual|2|2|62.98
11474|Melvin|Xu|1985-08-21|S|M|20000|Partial High School|Manual|2|3|49.97
11475|Cesar|Subram|1984-04-07|S|M|30000|High School|Manual|1|4|69.46
11476|Erika|Navarro|1980-05-16|M|F|40000|Bachelors|Skilled Manual|0|1|53.99
11477|Tristan|Hughes|1984-06-21|S|M|30000|High School|Manual|1|1|34.99
11478|Billy|Hernandez|1984-02-22|S|M|30000|High School|Manual|1|1|53.99
11479|Darryl|Wu|1978-10-20|M|M|40000|Bachelors|Skilled Manual|0|9|4970.6096
11480|Colleen|Ma|1984-03-07|M|F|40000|Bachelors|Skilled Manual|0|7|4935.3596
11481|Erica|Hu|1978-11-20|M|F|40000|Bachelors|Skilled Manual|0|6|4978.0482
11482|Adrienne|Torres|1978-01-16|S|F|30000|High School|Manual|1|5|8143.03
11483|Calvin|Chande|1983-05-19|M|M|40000|Bachelors|Skilled Manual|1|4|4966.3896
11484|Erick|Sai|1983-03-03|S|M|40000|Partial College|Clerical|0|6|4985.3796
11485|Donald|Chandra|1978-02-04|M|M|40000|Partial College|Clerical|0|7|7048.3
11486|Ariana|Rogers|1982-05-21|S|F|10000|Partial High School|Manual|2|1|34.99
11487|Morgan|Jones|1977-01-05|S|F|10000|Partial High School|Manual|2|1|53.99
11488|Jermaine|Lopez|1977-03-20|S|M|20000|Partial High School|Manual|2|5|8090.33
11489|Deborah|Goel|1976-09-03|S|F|20000|Partial High School|Manual|2|7|8127.51
11490|Danny|Rubio|1976-07-05|S|M|20000|Partial High School|Manual|2|1|53.99
11491|Andre|Perez|1982-04-02|M|M|20000|Partial High School|Manual|2|7|8158.01
11492|Terrence|Chander|1982-11-15|S|M|30000|High School|Manual|1|3|4404.0782
11493|Dawn|Wu|1976-05-31|S|F|40000|Partial College|Clerical|0|6|6958.8
11494|Jimmy|Gutierrez|1976-01-25|S|M|40000|Partial College|Clerical|0|5|6973.81
11495|Francis|Jimenez|1977-03-03|S|M|40000|Partial College|Clerical|1|2|13.98
11496|Gary|Ortega|1976-04-15|S|M|40000|Partial College|Clerical|2|7|7013.79
11497|Katrina|Nath|1981-11-22|S|F|40000|Partial College|Clerical|2|1|34.99
11498|Arturo|Sun|1979-07-15|S|M|40000|Partial College|Clerical|2|30|561.53
11499|Pedro|Vance|1980-05-13|S|M|40000|Partial College|Clerical|2|6|192.21
11500|Sarah|Simmons|1980-03-17|S|F|40000|Graduate Degree|Skilled Manual|0|30|654.27
11501|Brandy|Chandra|1981-01-03|S|F|40000|Partial College|Clerical|2|33|872.25
11502|Jared|Peterson|1980-09-03|S|M|40000|Partial College|Clerical|1|43|1026.29
11503|Dennis|Wu|1936-04-11|M|M|50000|Graduate Degree|Skilled Manual|0|3|61.78
11504|Jordan|Baker|1936-10-17|M|F|40000|Bachelors|Skilled Manual|1|4|44.57
11509|Roger|Harui|1964-07-22|M|F|30000|Bachelors|Skilled Manual|1|3|196.29
11510|Seth|Roberts|1959-01-10|M|M|30000|Bachelors|Skilled Manual|1|16|258.15
11511|Caleb|Perry|1964-06-10|M|M|30000|Bachelors|Skilled Manual|1|1|35
11512|Natalie|Campbell|1976-08-05|S|F|20000|Partial High School|Manual|2|1|2319.99
11513|Alyssa|Howard|1965-09-23|S|F|20000|Partial High School|Manual|2|5|863.95
11514|Dalton|Diaz|1965-04-16|M|M|30000|High School|Clerical|1|2|39.99
11515|Shannon|Huang|1959-08-25|M|F|30000|High School|Clerical|1|4|5930.23
11516|Mya|Gonzales|1976-10-13|M|F|30000|High School|Clerical|1|5|5915.54
11517|Katherine|Bryant|1959-12-18|M|F|40000|Partial College|Clerical|1|5|101.76
11518|Edward|Washington|1960-11-06|M|M|40000|Partial College|Clerical|1|6|82.2
11519|Jerome|Navarro|1960-09-13|M|M|40000|Partial College|Clerical|1|36|757.27
11520|Jada|Morgan|1960-10-08|M|F|40000|Partial College|Clerical|1|32|822.97
11521|Ariana|Peterson|1977-12-01|M|F|40000|Partial College|Clerical|1|4|44.57
11523|Lucas|Taylor|1962-02-07|M|M|40000|Partial College|Clerical|1|3|2376.96
11524|Alyssa|Jackson|1961-07-22|M|F|40000|Partial College|Clerical|1|3|42.28
11525|Ariana|Cook|1961-07-08|M|F|40000|Partial College|Clerical|1|4|5935.55
11526|Katherine|Diaz|1973-01-30|M|F|40000|Partial College|Clerical|1|3|2376.96
11527|Jenna|Green|1961-12-02|M|F|40000|Partial College|Clerical|1|3|39.58
11528|Joan|Washington|1968-08-15|M|F|40000|Partial College|Clerical|1|6|5959.71
11529|Austin|Bryant|1963-05-16|M|M|40000|Partial College|Clerical|1|6|5944.21
11530|Andrew|Martinez|1963-01-23|M|M|40000|Partial College|Clerical|1|26|573.8
11531|Nina|Yuan|1962-07-07|M|F|40000|Partial College|Clerical|1|3|5875.55
11532|Lauren|Miller|1962-08-26|M|F|40000|Partial College|Clerical|1|4|44.57
11533|Ebony|Gill|1968-07-17|M|F|40000|Partial College|Clerical|1|2|37.29
11542|Alejandro|Tang|1979-09-07|S|M|20000|Partial College|Manual|0|3|34.47
11543|Sheena|Chande|1973-08-16|M|F|20000|Partial College|Manual|1|1|53.99
11544|Joel|Garcia|1979-05-04|M|M|30000|Bachelors|Clerical|0|2|88.98
11545|Reginald|Dominguez|1973-09-22|M|M|30000|Bachelors|Clerical|0|1|53.99
11546|Christine|Chande|1973-09-11|M|F|30000|Bachelors|Clerical|0|5|4460.3796
11547|Cindy|Sai|1979-03-05|M|F|40000|Graduate Degree|Clerical|0|5|4976.3796
11548|Raymond|Sanchez|1974-04-11|S|M|40000|Graduate Degree|Clerical|0|9|7068.27
11549|Crystal|Liang|1979-09-03|M|F|40000|Bachelors|Clerical|0|9|7023.77
11550|Deb|Torres|1979-08-05|S|F|40000|Bachelors|Clerical|0|5|5241.4282
11551|Shannon|Alvarez|1978-05-21|S|M|10000|High School|Manual|1|1|53.99
11552|Eddie|Rubio|1972-11-23|S|M|20000|Partial College|Manual|1|1|34.99
11553|Sharon|Luo|1973-03-08|M|F|20000|Partial College|Manual|1|1|21.49
11554|Sydney|Simmons|1932-03-27|S|F|10000|High School|Manual|2|1|34.99
11555|Alexandria|Henderson|1937-07-04|M|F|40000|Bachelors|Clerical|0|1|34.99
11556|Lucas|Evans|1972-11-10|M|M|20000|Partial College|Manual|1|1|21.49
11557|Felicia|Ramos|1972-07-14|S|F|30000|Bachelors|Clerical|0|1|21.49
11558|Ivan|Malhotra|1973-02-18|S|M|30000|Bachelors|Clerical|0|1|21.49
11559|Frederick|Subram|1978-12-12|S|M|30000|Bachelors|Clerical|1|1|34.99
11560|Whitney|Srini|1978-08-09|S|F|30000|Bachelors|Clerical|1|1|53.99
11561|Briana|Dominguez|1972-01-21|S|F|10000|Partial High School|Manual|2|2|4344.0882
11562|Jarrod|Gonzalez|1971-10-17|M|M|20000|High School|Manual|1|2|84.98
11563|Cesar|Srini|1971-08-01|S|M|20000|High School|Manual|1|1|53.99
11564|Jorge|Liang|1972-01-09|S|M|20000|High School|Manual|2|2|4369.0882
11565|Erik|Diaz|1971-12-30|S|M|20000|High School|Manual|0|1|34.99
11566|April|Shan|1973-03-01|M|F|40000|Bachelors|Clerical|0|58|1006.83
11567|Carla|Perez|1978-09-19|M|F|40000|Bachelors|Clerical|0|1|53.99
11568|Alexia|Foster|1972-04-21|S|F|20000|High School|Manual|0|5|6789.4596
11569|Troy|Malhotra|1977-05-06|M|M|30000|Bachelors|Clerical|1|1|34.99
11570|Kristin|Andersen|1971-07-22|M|F|30000|Bachelors|Skilled Manual|2|2|4391.4096
11571|Joel|Sai|1971-11-15|M|M|30000|Bachelors|Skilled Manual|2|4|4390.6796
11572|Billy|Moreno|1977-03-11|M|M|30000|Bachelors|Skilled Manual|2|6|4450.3696
11573|Meagan|Subram|1976-11-11|S|F|20000|High School|Manual|1|1|34.99
11574|Karla|Luo|1971-01-14|S|F|20000|High School|Manual|1|1|34.99
11575|Jackson|Campbell|1970-10-19|S|M|20000|High School|Manual|2|7|6806.1182
11576|Micah|Zhu|1970-08-10|M|M|30000|Bachelors|Skilled Manual|2|3|4486.4096
11577|Janet|Serrano|1971-04-21|M|F|30000|Bachelors|Skilled Manual|2|2|4344.0882
11578|Trisha|Huang|1970-05-08|S|F|10000|Partial High School|Manual|2|4|4406.3896
11579|Clayton|Beck|1981-02-13|S|M|20000|High School|Manual|1|2|43.98
11580|Melvin|Raje|1939-03-12|M|M|30000|Bachelors|Skilled Manual|1|1|34.99
11581|Cindy|Jordan|1972-03-03|M|F|40000|Bachelors|Professional|0|11|237.19
11582|Claudia|Ma|1974-04-09|S|F|30000|Partial College|Clerical|0|3|4379.0782
11583|Karla|Xu|1971-03-26|S|F|30000|Partial College|Clerical|0|4|4381.3896
11584|Devin|Carter|1971-05-22|M|M|40000|Bachelors|Skilled Manual|0|1|8.99
11585|Kari|Perez|1976-03-04|M|F|40000|Bachelors|Skilled Manual|0|1|49.99
11586|Alberto|Romero|1971-06-14|M|M|40000|Bachelors|Skilled Manual|0|1|8.99
11587|Kevin|Bryant|1975-10-18|S|M|30000|Partial College|Clerical|2|5|4540.3782
11588|Candace|Mehta|1970-01-11|M|F|30000|Partial College|Clerical|2|2|4369.0882
11589|Ebony|Malhotra|1975-05-01|M|F|40000|Bachelors|Skilled Manual|0|2|14.98
11590|Erika|Diaz|1980-04-12|S|F|30000|Partial College|Clerical|2|4|4384.0682
11591|Stacey|Lu|1968-11-12|S|F|30000|Partial College|Clerical|0|3|5895.24
11592|Darrell|Raji|1984-03-03|S|M|20000|High School|Manual|1|3|5875.55
11593|Armando|Moreno|1982-09-22|S|M|20000|High School|Manual|1|3|5908.25
11594|Corey|Goel|1985-05-03|S|M|20000|High School|Manual|2|2|88.98
11595|Sebastian|Howard|1984-12-29|S|M|20000|High School|Manual|3|1|34.99
11596|Roger|Raje|1969-03-02|M|M|40000|Bachelors|Skilled Manual|0|3|49.97
11597|Janelle|Chandra|1983-08-06|S|F|30000|Partial College|Clerical|2|1|34.99
11598|Meredith|Ruiz|1983-12-30|S|F|30000|Partial College|Clerical|3|5|4548.6996
11599|Melody|Diaz|1983-03-16|S|F|20000|High School|Manual|1|6|5957.22
11600|Linda|Rubio|1982-10-05|S|F|30000|Partial College|Clerical|1|1|34.99
11601|Ivan|Raman|1983-02-18|S|M|30000|Partial College|Clerical|1|6|5932.22
11602|Larry|Gill|1982-10-11|S|M|30000|Partial College|Clerical|1|1|34.99
11603|Geoffrey|Gonzalez|1982-08-06|S|M|30000|Partial College|Clerical|1|5|6767.1382
11604|Edgar|Sanchez|1982-12-01|S|M|30000|Partial College|Clerical|1|7|6786.1182
11605|Heidi|Subram|1982-05-20|S|F|20000|High School|Manual|1|2|4344.0882
11606|Melody|Ramos|1986-01-30|S|F|10000|Partial High School|Manual|2|5|5922.23
11607|Clinton|Moreno|1986-05-05|S|M|20000|High School|Manual|1|4|5913.24
11608|Cesar|Madan|1981-09-01|S|M|20000|High School|Manual|1|1|34.99
11609|Eugene|Ye|1981-12-24|S|M|30000|Partial College|Clerical|1|9|6872.1082
11610|Blake|Collins|1980-10-20|S|M|30000|Partial College|Clerical|1|6|6786.4396
11611|Ernest|Lin|1985-02-23|M|M|20000|Partial High School|Manual|1|2|5873.26
11612|Keith|Andersen|1985-10-07|S|M|20000|Partial High School|Manual|2|6|6795.1182
11613|Meredith|Prasad|1981-05-02|S|F|30000|Partial College|Clerical|1|4|4381.3896
11614|Katrina|Sharma|1981-02-13|S|F|30000|Partial College|Clerical|1|5|4438.0582
11615|Dwayne|Navarro|1981-05-20|M|M|40000|Bachelors|Skilled Manual|0|7|5205.7096
11616|Casey|Nath|1980-09-05|M|F|40000|Bachelors|Skilled Manual|0|10|5253.6496
