FN,MN,LN,Email,CustomerKey,DOB,Occupation,SalesAmount
Janet,Alvarez,G,janet9@adv,11006,1976-12-02,Professional,2384.07
Janet,Alvarez,G,janet9@adv,11006,1976-12-02,Professional,3399.99
Janet,Alvarez,G,janet9@adv,11006,1976-12-02,Professional,2319.99
Janet,Alvarez,G,janet9@adv,11006,1976-12-02,Professional,9.99
Janet,Alvarez,G,janet9@adv,11006,1976-12-02,Professional,4.99
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,34.99
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,35
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,2384.07
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,4.99
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,2294.99
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,21.98
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,3399.99
Marco,Mehta,,marco14@ad,11007,1969-11-06,Professional,34.99
Rob,Verhoff,,rob4@adven,11008,1975-07-04,Professional,2384.07
Rob,Verhoff,,rob4@adven,11008,1975-07-04,Professional,3374.99
Rob,Verhoff,,rob4@adven,11008,1975-07-04,Professional,34.99
Rob,Verhoff,,rob4@adven,11008,1975-07-04,Professional,2.29
Rob,Verhoff,,rob4@adven,11008,1975-07-04,Professional,4.99
Rob,Verhoff,,rob4@adven,11008,1975-07-04,Professional,9.99
Rob,Verhoff,,rob4@adven,11008,1975-07-04,Professional,2294.99
Shannon,Carlson,C,shannon38@,11009,1969-09-29,Professional,2384.07
Shannon,Carlson,C,shannon38@,11009,1969-09-29,Professional,2294.99
Shannon,Carlson,C,shannon38@,11009,1969-09-29,Professional,34.99
Shannon,Carlson,C,shannon38@,11009,1969-09-29,Professional,2.29
Shannon,Carlson,C,shannon38@,11009,1969-09-29,Professional,3374.99
Jacquelyn,Suarez,C,jacquelyn2,11010,1969-08-05,Professional,2384.07
Jacquelyn,Suarez,C,jacquelyn2,11010,1969-08-05,Professional,3399.99
Jacquelyn,Suarez,C,jacquelyn2,11010,1969-08-05,Professional,8.99
Jacquelyn,Suarez,C,jacquelyn2,11010,1969-08-05,Professional,2294.99
Curtis,Lu,,curtis9@ad,11011,1969-05-03,Professional,2384.07
Curtis,Lu,,curtis9@ad,11011,1969-05-03,Professional,3399.99
Curtis,Lu,,curtis9@ad,11011,1969-05-03,Professional,53.99
Curtis,Lu,,curtis9@ad,11011,1969-05-03,Professional,2294.99
Lauren,Walker,M,lauren41@a,11012,1979-01-14,Management,3.99
Lauren,Walker,M,lauren41@a,11012,1979-01-14,Management,35
Lauren,Walker,M,lauren41@a,11012,1979-01-14,Management,2.29
Lauren,Walker,M,lauren41@a,11012,1979-01-14,Management,4.99
Lauren,Walker,M,lauren41@a,11012,1979-01-14,Management,34.99
Ian,Jenkins,M,ian47@adve,11013,1979-08-03,Management,34.99
Ian,Jenkins,M,ian47@adve,11013,1979-08-03,Management,34.99
Ian,Jenkins,M,ian47@adve,11013,1979-08-03,Management,4.99
Ian,Jenkins,M,ian47@adve,11013,1979-08-03,Management,3.99
Ian,Jenkins,M,ian47@adve,11013,1979-08-03,Management,35
Sydney,Bennett,,sydney23@a,11014,1973-11-06,Management,3.99
Sydney,Bennett,,sydney23@a,11014,1973-11-06,Management,35
Sydney,Bennett,,sydney23@a,11014,1973-11-06,Management,34.99
Sydney,Bennett,,sydney23@a,11014,1973-11-06,Management,4.99
Sydney,Bennett,,sydney23@a,11014,1973-11-06,Management,34.99
Sydney,Bennett,,sydney23@a,11014,1973-11-06,Management,24.49
Chloe,Young,,chloe23@ad,11015,1984-08-26,Skilled Manual,159
Chloe,Young,,chloe23@ad,11015,1984-08-26,Skilled Manual,21.98
Chloe,Young,,chloe23@ad,11015,1984-08-26,Skilled Manual,2319.99
Wyatt,Hill,L,wyatt32@ad,11016,1984-10-25,Skilled Manual,2.29
Wyatt,Hill,L,wyatt32@ad,11016,1984-10-25,Skilled Manual,35
Wyatt,Hill,L,wyatt32@ad,11016,1984-10-25,Skilled Manual,2294.99
Shannon,Wang,,shannon1@a,11017,1949-12-24,Skilled Manual,742.35
Shannon,Wang,,shannon1@a,11017,1949-12-24,Skilled Manual,3374.99
Shannon,Wang,,shannon1@a,11017,1949-12-24,Skilled Manual,2294.99
Shannon,Wang,,shannon1@a,11017,1949-12-24,Skilled Manual,21.98
Clarence,Rai,D,clarence32,11018,1955-10-06,Clerical,742.35
Clarence,Rai,D,clarence32,11018,1955-10-06,Clerical,21.98
Clarence,Rai,D,clarence32,11018,1955-10-06,Clerical,8.99
Clarence,Rai,D,clarence32,11018,1955-10-06,Clerical,2319.99
Clarence,Rai,D,clarence32,11018,1955-10-06,Clerical,4.99
Clarence,Rai,D,clarence32,11018,1955-10-06,Clerical,3399.99
Clarence,Rai,D,clarence32,11018,1955-10-06,Clerical,34.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,2.29
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,8.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,34.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,69.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,2.29
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,21.49
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,120
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,3.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,28.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,4.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,24.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,3.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,3.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,53.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,29.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,2.29
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,24.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,24.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,24.49
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,34.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,34.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,2.29
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,8.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,49.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,2.29
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,24.49
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,4.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,53.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,4.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,35
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,8.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,4.99
Luke,Lal,L,luke18@adv,11019,1983-09-04,Skilled Manual,120
Jordan,King,C,jordan73@a,11020,1984-03-19,Skilled Manual,21.98
Jordan,King,C,jordan73@a,11020,1984-03-19,Skilled Manual,2294.99
Destiny,Wilson,,destiny7@a,11021,1984-03-02,Skilled Manual,2294.99
Destiny,Wilson,,destiny7@a,11021,1984-03-02,Skilled Manual,54.99
Destiny,Wilson,,destiny7@a,11021,1984-03-02,Skilled Manual,21.98
Ethan,Zhang,G,ethan20@ad,11022,1984-04-10,Skilled Manual,2319.99
Ethan,Zhang,G,ethan20@ad,11022,1984-04-10,Skilled Manual,2.29
Seth,Edwards,M,seth46@adv,11023,1984-04-09,Skilled Manual,35
Seth,Edwards,M,seth46@adv,11023,1984-04-09,Skilled Manual,3.99
Seth,Edwards,M,seth46@adv,11023,1984-04-09,Skilled Manual,4.99
Seth,Edwards,M,seth46@adv,11023,1984-04-09,Skilled Manual,2.29
Seth,Edwards,M,seth46@adv,11023,1984-04-09,Skilled Manual,21.98
Seth,Edwards,M,seth46@adv,11023,1984-04-09,Skilled Manual,53.99
Russell,Xie,,russell7@a,11024,1984-03-16,Skilled Manual,7.95
Russell,Xie,,russell7@a,11024,1984-03-16,Skilled Manual,2.29
Russell,Xie,,russell7@a,11024,1984-03-16,Skilled Manual,35
Russell,Xie,,russell7@a,11024,1984-03-16,Skilled Manual,2.29
Russell,Xie,,russell7@a,11024,1984-03-16,Skilled Manual,4.99
Russell,Xie,,russell7@a,11024,1984-03-16,Skilled Manual,3.99
Alejandro,Beck,,alejandro4,11025,1951-06-22,Clerical,742.35
Alejandro,Beck,,alejandro4,11025,1951-06-22,Clerical,21.98
Alejandro,Beck,,alejandro4,11025,1951-06-22,Clerical,53.99
Alejandro,Beck,,alejandro4,11025,1951-06-22,Clerical,3374.99
Alejandro,Beck,,alejandro4,11025,1951-06-22,Clerical,2319.99
Alejandro,Beck,,alejandro4,11025,1951-06-22,Clerical,63.5
Harold,Sai,,harold3@ad,11026,1951-10-01,Clerical,2319.99
Harold,Sai,,harold3@ad,11026,1951-10-01,Clerical,4.99
Harold,Sai,,harold3@ad,11026,1951-10-01,Clerical,3399.99
Harold,Sai,,harold3@ad,11026,1951-10-01,Clerical,24.49
Harold,Sai,,harold3@ad,11026,1951-10-01,Clerical,28.99
Harold,Sai,,harold3@ad,11026,1951-10-01,Clerical,54.99
Harold,Sai,,harold3@ad,11026,1951-10-01,Clerical,742.35
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,53.99
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,3399.99
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,742.35
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,2294.99
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,4.99
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,8.99
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,28.99
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,54.99
Jessie,Zhao,R,jessie16@a,11027,1952-06-05,Clerical,2.29
Jill,Jimenez,,jill13@adv,11028,1951-10-09,Clerical,3374.99
Jill,Jimenez,,jill13@adv,11028,1951-10-09,Clerical,2.29
Jill,Jimenez,,jill13@adv,11028,1951-10-09,Clerical,742.35
Jill,Jimenez,,jill13@adv,11028,1951-10-09,Clerical,35
Jill,Jimenez,,jill13@adv,11028,1951-10-09,Clerical,2319.99
Jimmy,Moreno,L,jimmy9@adv,11029,1952-06-19,Clerical,4.99
Jimmy,Moreno,L,jimmy9@adv,11029,1952-06-19,Clerical,3399.99
Jimmy,Moreno,L,jimmy9@adv,11029,1952-06-19,Clerical,53.99
Jimmy,Moreno,L,jimmy9@adv,11029,1952-06-19,Clerical,8.99
Jimmy,Moreno,L,jimmy9@adv,11029,1952-06-19,Clerical,34.99
Jimmy,Moreno,L,jimmy9@adv,11029,1952-06-19,Clerical,742.35
Jimmy,Moreno,L,jimmy9@adv,11029,1952-06-19,Clerical,2319.99
Bethany,Yuan,G,bethany10@,11030,1958-02-18,Clerical,2319.99
Bethany,Yuan,G,bethany10@,11030,1958-02-18,Clerical,742.35
Bethany,Yuan,G,bethany10@,11030,1958-02-18,Clerical,3399.99
Bethany,Yuan,G,bethany10@,11030,1958-02-18,Clerical,8.99
Theresa,Ramos,G,theresa13@,11031,1953-02-18,Skilled Manual,2.29
Theresa,Ramos,G,theresa13@,11031,1953-02-18,Skilled Manual,3399.99
Theresa,Ramos,G,theresa13@,11031,1953-02-18,Skilled Manual,8.99
Theresa,Ramos,G,theresa13@,11031,1953-02-18,Skilled Manual,2319.99
Theresa,Ramos,G,theresa13@,11031,1953-02-18,Skilled Manual,4.99
Theresa,Ramos,G,theresa13@,11031,1953-02-18,Skilled Manual,742.35
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,4.99
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,3374.99
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,742.35
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,2.29
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,8.99
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,4.99
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,9.99
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,2319.99
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,35
Denise,Stone,,denise10@a,11032,1952-12-08,Skilled Manual,21.98
Jaime,Nath,,jaime41@ad,11033,1958-09-19,Skilled Manual,8.99
Jaime,Nath,,jaime41@ad,11033,1958-09-19,Skilled Manual,3374.99
Jaime,Nath,,jaime41@ad,11033,1958-09-19,Skilled Manual,34.99
Jaime,Nath,,jaime41@ad,11033,1958-09-19,Skilled Manual,742.35
Jaime,Nath,,jaime41@ad,11033,1958-09-19,Skilled Manual,2319.99
Jaime,Nath,,jaime41@ad,11033,1958-09-19,Skilled Manual,4.99
Jaime,Nath,,jaime41@ad,11033,1958-09-19,Skilled Manual,8.99
Ebony,Gonzalez,,ebony19@ad,11034,1952-12-16,Skilled Manual,53.99
Ebony,Gonzalez,,ebony19@ad,11034,1952-12-16,Skilled Manual,2294.99
Ebony,Gonzalez,,ebony19@ad,11034,1952-12-16,Skilled Manual,3399.99
Ebony,Gonzalez,,ebony19@ad,11034,1952-12-16,Skilled Manual,742.35
Wendy,Dominguez,,wendy12@ad,11035,1953-08-23,Clerical,2319.99
Wendy,Dominguez,,wendy12@ad,11035,1953-08-23,Clerical,3374.99
Wendy,Dominguez,,wendy12@ad,11035,1953-08-23,Clerical,4.99
Wendy,Dominguez,,wendy12@ad,11035,1953-08-23,Clerical,8.99
Wendy,Dominguez,,wendy12@ad,11035,1953-08-23,Clerical,742.35
Jennifer,Russell,C,jennifer93,11036,1984-06-16,Skilled Manual,34.99
Jennifer,Russell,C,jennifer93,11036,1984-06-16,Skilled Manual,2319.99
Chloe,Garcia,M,chloe27@ad,11037,1983-05-27,Clerical,2294.99
Chloe,Garcia,M,chloe27@ad,11037,1983-05-27,Clerical,35
Chloe,Garcia,M,chloe27@ad,11037,1983-05-27,Clerical,2.29
Chloe,Garcia,M,chloe27@ad,11037,1983-05-27,Clerical,4.99
Chloe,Garcia,M,chloe27@ad,11037,1983-05-27,Clerical,21.98
Chloe,Garcia,M,chloe27@ad,11037,1983-05-27,Clerical,4.99
Chloe,Garcia,M,chloe27@ad,11037,1983-05-27,Clerical,9.99
Diana,Hernandez,F,diana2@adv,11038,1953-09-20,Clerical,2319.99
Diana,Hernandez,F,diana2@adv,11038,1953-09-20,Clerical,742.35
Diana,Hernandez,F,diana2@adv,11038,1953-09-20,Clerical,3374.99
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,8.99
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,8.99
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,3399.99
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,2319.99
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,28.99
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,120
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,4.99
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,2.29
Marc,Martin,J,marc3@adve,11039,1954-06-16,Clerical,742.35
Jesse,Murphy,,jesse15@ad,11040,1983-01-29,Skilled Manual,2319.99
Jesse,Murphy,,jesse15@ad,11040,1983-01-29,Skilled Manual,8.99
Jesse,Murphy,,jesse15@ad,11040,1983-01-29,Skilled Manual,21.98
Amanda,Carter,M,amanda53@a,11041,1983-04-15,Skilled Manual,63.5
Amanda,Carter,M,amanda53@a,11041,1983-04-15,Skilled Manual,21.98
Amanda,Carter,M,amanda53@a,11041,1983-04-15,Skilled Manual,2294.99
Megan,Sanchez,J,megan28@ad,11042,1982-12-11,Skilled Manual,742.35
Megan,Sanchez,J,megan28@ad,11042,1982-12-11,Skilled Manual,2319.99
Megan,Sanchez,J,megan28@ad,11042,1982-12-11,Skilled Manual,49.99
Nathan,Simmons,M,nathan11@a,11043,1981-08-23,Skilled Manual,3.99
Nathan,Simmons,M,nathan11@a,11043,1981-08-23,Skilled Manual,35
Nathan,Simmons,M,nathan11@a,11043,1981-08-23,Skilled Manual,8.99
Adam,Flores,L,adam10@adv,11044,1954-11-21,Clerical,53.99
Adam,Flores,L,adam10@adv,11044,1954-11-21,Clerical,3374.99
Adam,Flores,L,adam10@adv,11044,1954-11-21,Clerical,2294.99
Adam,Flores,L,adam10@adv,11044,1954-11-21,Clerical,4.99
Adam,Flores,L,adam10@adv,11044,1954-11-21,Clerical,35
Adam,Flores,L,adam10@adv,11044,1954-11-21,Clerical,8.99
Adam,Flores,L,adam10@adv,11044,1954-11-21,Clerical,742.35
Leonard,Nara,G,leonard18@,11045,1955-11-16,Skilled Manual,24.99
Leonard,Nara,G,leonard18@,11045,1955-11-16,Skilled Manual,49.99
Leonard,Nara,G,leonard18@,11045,1955-11-16,Skilled Manual,4.99
Leonard,Nara,G,leonard18@,11045,1955-11-16,Skilled Manual,34.99
Christine,Yuan,,christine4,11046,1955-09-19,Skilled Manual,3374.99
Christine,Yuan,,christine4,11046,1955-09-19,Skilled Manual,34.99
Christine,Yuan,,christine4,11046,1955-09-19,Skilled Manual,120
Christine,Yuan,,christine4,11046,1955-09-19,Skilled Manual,742.35
Christine,Yuan,,christine4,11046,1955-09-19,Skilled Manual,2319.99
Christine,Yuan,,christine4,11046,1955-09-19,Skilled Manual,24.49
Jaclyn,Lu,D,jaclyn12@a,11047,1955-08-27,Skilled Manual,3399.99
Jaclyn,Lu,D,jaclyn12@a,11047,1955-08-27,Skilled Manual,120
Jaclyn,Lu,D,jaclyn12@a,11047,1955-08-27,Skilled Manual,742.35
Jaclyn,Lu,D,jaclyn12@a,11047,1955-08-27,Skilled Manual,2319.99
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,53.99
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,3374.99
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,7.95
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,2294.99
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,742.35
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,9.99
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,8.99
Jeremy,Powell,,jeremy26@a,11048,1956-05-21,Skilled Manual,4.99
Carol,Rai,C,carol8@adv,11049,1986-01-15,Clerical,35
Carol,Rai,C,carol8@adv,11049,1986-01-15,Clerical,2.29
Carol,Rai,C,carol8@adv,11049,1986-01-15,Clerical,34.99
Carol,Rai,C,carol8@adv,11049,1986-01-15,Clerical,3.99
Carol,Rai,C,carol8@adv,11049,1986-01-15,Clerical,4.99
Alan,Zheng,,alan23@adv,11050,1957-03-06,Skilled Manual,3374.99
Alan,Zheng,,alan23@adv,11050,1957-03-06,Skilled Manual,34.99
Alan,Zheng,,alan23@adv,11050,1957-03-06,Skilled Manual,21.98
Alan,Zheng,,alan23@adv,11050,1957-03-06,Skilled Manual,742.35
Alan,Zheng,,alan23@adv,11050,1957-03-06,Skilled Manual,769.49
Alan,Zheng,,alan23@adv,11050,1957-03-06,Skilled Manual,63.5
Daniel,Johnson,,daniel18@a,11051,1957-01-31,Skilled Manual,34.99
Daniel,Johnson,,daniel18@a,11051,1957-01-31,Skilled Manual,49.99
Daniel,Johnson,,daniel18@a,11051,1957-01-31,Skilled Manual,8.99
Daniel,Johnson,,daniel18@a,11051,1957-01-31,Skilled Manual,4.99
Daniel,Johnson,,daniel18@a,11051,1957-01-31,Skilled Manual,24.99
Heidi,Lopez,,heidi19@ad,11052,1957-02-03,Clerical,2384.07
Heidi,Lopez,,heidi19@ad,11052,1957-02-03,Clerical,2294.99
Heidi,Lopez,,heidi19@ad,11052,1957-02-03,Clerical,34.99
Heidi,Lopez,,heidi19@ad,11052,1957-02-03,Clerical,35
Heidi,Lopez,,heidi19@ad,11052,1957-02-03,Clerical,2.29
Heidi,Lopez,,heidi19@ad,11052,1957-02-03,Clerical,3374.99
Heidi,Lopez,,heidi19@ad,11052,1957-02-03,Clerical,4.99
Ana,Price,E,ana0@adven,11053,1986-02-17,Skilled Manual,34.99
Ana,Price,E,ana0@adven,11053,1986-02-17,Skilled Manual,2294.99
Deanna,Munoz,,deanna33@a,11054,1957-09-07,Skilled Manual,34.99
Deanna,Munoz,,deanna33@a,11054,1957-09-07,Skilled Manual,53.99
Deanna,Munoz,,deanna33@a,11054,1957-09-07,Skilled Manual,2384.07
Deanna,Munoz,,deanna33@a,11054,1957-09-07,Skilled Manual,3399.99
Deanna,Munoz,,deanna33@a,11054,1957-09-07,Skilled Manual,54.99
Deanna,Munoz,,deanna33@a,11054,1957-09-07,Skilled Manual,2294.99
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,2384.07
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,3374.99
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,8.99
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,34.99
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,4.99
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,35
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,4.99
Gilbert,Raje,,gilbert35@,11055,1957-09-02,Skilled Manual,2319.99
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,34.99
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,24.49
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,2384.07
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,3374.99
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,4.99
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,2319.99
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,9.99
Michele,Nath,L,michele19@,11056,1958-10-01,Skilled Manual,53.99
Carl,Andersen,J,carl12@adv,11057,1970-04-07,Management,8.99
Carl,Andersen,J,carl12@adv,11057,1970-04-07,Management,2319.99
Carl,Andersen,J,carl12@adv,11057,1970-04-07,Management,2384.07
Carl,Andersen,J,carl12@adv,11057,1970-04-07,Management,3374.99
Marc,Diaz,,marc6@adve,11058,1965-04-23,Skilled Manual,2384.07
Marc,Diaz,,marc6@adve,11058,1965-04-23,Skilled Manual,2319.99
Marc,Diaz,,marc6@adve,11058,1965-04-23,Skilled Manual,53.99
Marc,Diaz,,marc6@adve,11058,1965-04-23,Skilled Manual,54.99
Marc,Diaz,,marc6@adve,11058,1965-04-23,Skilled Manual,34.99
Marc,Diaz,,marc6@adve,11058,1965-04-23,Skilled Manual,3399.99
Ashlee,Andersen,J,ashlee19@a,11059,1959-09-29,Skilled Manual,24.99
Ashlee,Andersen,J,ashlee19@a,11059,1959-09-29,Skilled Manual,53.99
Ashlee,Andersen,J,ashlee19@a,11059,1959-09-29,Skilled Manual,8.99
Ashlee,Andersen,J,ashlee19@a,11059,1959-09-29,Skilled Manual,4.99
Ashlee,Andersen,J,ashlee19@a,11059,1959-09-29,Skilled Manual,8.99
Ashlee,Andersen,J,ashlee19@a,11059,1959-09-29,Skilled Manual,9.99
Ashlee,Andersen,J,ashlee19@a,11059,1959-09-29,Skilled Manual,4.99
Jon,Zhou,L,jon28@adve,11060,1959-09-14,Skilled Manual,34.99
Jon,Zhou,L,jon28@adve,11060,1959-09-14,Skilled Manual,2319.99
Jon,Zhou,L,jon28@adve,11060,1959-09-14,Skilled Manual,4.99
Jon,Zhou,L,jon28@adve,11060,1959-09-14,Skilled Manual,3399.99
Jon,Zhou,L,jon28@adve,11060,1959-09-14,Skilled Manual,8.99
Jon,Zhou,L,jon28@adve,11060,1959-09-14,Skilled Manual,2384.07
Todd,Gao,M,todd14@adv,11061,1976-02-20,Skilled Manual,4.99
