First_Name,Last_Name,DOB,MaritalStatus,Gender,EmailAddress,Education,Occupation,Income,children,Cars 
Heidi,Lopez,1957-02-03,S,F,heidi19@adventure-works.com,Partial College,Clerical,40000,2,2
Ana,Price,1986-02-17,M,F,ana0@adventure-works.com,Partial College,Skilled Manual,60000,0,2
Deanna,Munoz,1957-09-07,M,F,deanna33@adventure-works.com,Partial College,Skilled Manual,40000,2,2
Gilbert,Raje,1957-09-02,M,M,gilbert35@adventure-works.com,Partial College,Skilled Manual,40000,2,2
Michele,Nath,1958-10-01,M,F,michele19@adventure-works.com,Partial College,Skilled Manual,40000,3,2
Carl,Andersen,1970-04-07,M,M,carl12@adventure-works.com,Graduate Degree,Management,70000,2,2
Marc,Diaz,1965-04-23,M,M,marc6@adventure-works.com,Partial College,Skilled Manual,80000,2,2
Ashlee,Andersen,1959-09-29,S,F,ashlee19@adventure-works.com,Partial College,Skilled Manual,80000,2,2
Jon,Zhou,1959-09-14,M,M,jon28@adventure-works.com,Partial College,Skilled Manual,80000,2,2
Todd,Gao,1976-02-20,M,M,todd14@adventure-works.com,Partial College,Skilled Manual,80000,2,2
Noah,Powell,1981-03-01,M,M,noah5@adventure-works.com,High School,Skilled Manual,40000,0,2
Angela,Murphy,1980-10-04,S,F,angela41@adventure-works.com,High School,Skilled Manual,40000,0,2
Chase,Reed,1981-06-05,M,M,chase21@adventure-works.com,High School,Skilled Manual,40000,0,2
Jessica,Henderson,1979-04-08,M,F,jessica29@adventure-works.com,Partial College,Skilled Manual,60000,0,2
Grace,Butler,1979-05-27,M,F,grace62@adventure-works.com,Partial College,Professional,70000,0,2
Caleb,Carter,1982-03-25,S,M,caleb40@adventure-works.com,Partial College,Professional,60000,0,2
Tiffany,Liang,1966-09-19,S,F,tiffany17@adventure-works.com,High School,Skilled Manual,80000,2,2
Carolyn,Navarro,1966-09-17,S,F,carolyn30@adventure-works.com,High School,Skilled Manual,80000,2,2
Willie,Raji,1960-10-02,M,M,willie40@adventure-works.com,High School,Skilled Manual,80000,2,2
Linda,Serrano,1960-12-23,S,F,linda31@adventure-works.com,High School,Skilled Manual,80000,2,2
Casey,Luo,1960-08-05,S,F,casey6@adventure-works.com,High School,Skilled Manual,80000,2,2
Amy,Ye,1962-02-11,S,F,amy16@adventure-works.com,High School,Skilled Manual,70000,2,2
Levi,Arun,1962-02-25,S,M,levi6@adventure-works.com,High School,Skilled Manual,70000,2,2
Felicia,Jimenez,1963-05-16,S,F,felicia4@adventure-works.com,High School,Professional,80000,2,2
Blake,Anderson,1963-01-10,S,M,blake9@adventure-works.com,High School,Professional,80000,2,2
Leah,Ye,1963-03-19,S,F,leah7@adventure-works.com,High School,Professional,80000,2,2
Gina,Martin,1985-01-06,S,F,gina1@adventure-works.com,High School,Professional,40000,0,2
Donald,Gonzalez,1970-03-07,S,M,donald20@adventure-works.com,Graduate Degree,Management,160000,0,2
Damien,Chander,1965-01-13,M,M,damien32@adventure-works.com,Graduate Degree,Management,170000,0,2
Savannah,Baker,1972-01-21,M,F,savannah39@adventure-works.com,Bachelors,Management,120000,2,3
Angela,Butler,1972-02-01,S,F,angela17@adventure-works.com,Graduate Degree,Management,130000,0,3
Alyssa,Cox,1977-03-11,M,F,alyssa37@adventure-works.com,Graduate Degree,Management,130000,0,3
Lucas,Phillips,1963-03-12,S,M,lucas7@adventure-works.com,Partial High School,Skilled Manual,80000,2,2
Emily,Johnson,1963-01-16,S,F,emily1@adventure-works.com,High School,Professional,60000,2,2
Ryan,Brown,1963-06-22,M,M,ryan43@adventure-works.com,Partial College,Professional,70000,2,0
Tamara,Liang,1963-04-02,M,F,tamara6@adventure-works.com,Partial College,Professional,70000,3,0
Hunter,Davis,1963-05-25,M,M,hunter64@adventure-works.com,Bachelors,Management,80000,2,0
Abigail,Price,1962-08-05,S,F,abigail25@adventure-works.com,Bachelors,Management,80000,2,1
Trevor,Bryant,1968-12-13,S,M,trevor18@adventure-works.com,Partial College,Professional,90000,2,1
Dalton,Perez,1962-10-02,M,M,dalton37@adventure-works.com,Partial College,Professional,90000,2,1
Cheryl,Diaz,1972-11-02,M,F,cheryl4@adventure-works.com,Bachelors,Professional,90000,2,0
Aimee,He,1978-09-06,M,F,aimee13@adventure-works.com,Graduate Degree,Management,100000,0,0
Cedric,Ma,1967-09-29,S,M,cedric15@adventure-works.com,Partial College,Skilled Manual,70000,1,1
Chad,Kumar,1968-02-29,S,M,chad9@adventure-works.com,Partial College,Skilled Manual,70000,1,1
Andrés,Anand,1968-02-07,M,M,andrés18@adventure-works.com,Bachelors,Professional,60000,1,1
Edwin,Nara,1972-10-23,M,M,edwin39@adventure-works.com,Partial College,Skilled Manual,60000,1,1
Mallory,Rubio,1966-10-29,S,F,mallory7@adventure-works.com,Partial College,Skilled Manual,60000,1,1
Adam,Ross,1966-09-05,M,M,adam2@adventure-works.com,Bachelors,Professional,60000,1,1
Latasha,Navarro,1966-03-15,S,F,latasha10@adventure-works.com,Partial College,Skilled Manual,60000,1,1
Abby,Sai,1970-11-05,S,F,abby4@adventure-works.com,Bachelors,Professional,70000,0,1
Julia,Nelson,1970-10-19,S,F,julia7@adventure-works.com,Bachelors,Professional,80000,5,4
Cassie,Chande,1981-04-12,S,F,cassie13@adventure-works.com,Bachelors,Professional,70000,0,1
Edgar,Sara,1975-03-08,M,M,edgar11@adventure-works.com,Bachelors,Professional,70000,0,1
Candace,Fernandez,1970-06-27,S,F,candace15@adventure-works.com,Bachelors,Professional,70000,0,1
Jessie,Liu,1970-03-11,S,M,jessie9@adventure-works.com,Bachelors,Professional,70000,0,1
Bianca,Lin,1976-03-04,M,F,bianca7@adventure-works.com,Bachelors,Professional,90000,1,1
Kari,Alvarez,1969-01-10,S,F,kari25@adventure-works.com,Bachelors,Professional,70000,0,2
Ruben,Kapoor,1980-04-30,S,M,ruben1@adventure-works.com,Bachelors,Professional,70000,0,2
Curtis,Yang,1967-12-04,M,M,curtis5@adventure-works.com,Partial College,Skilled Manual,60000,1,1
Meredith,Gutierrez,1967-08-23,M,F,meredith34@adventure-works.com,Partial College,Skilled Manual,60000,1,1
Crystal,Wang,1968-03-08,M,F,crystal3@adventure-works.com,Partial College,Skilled Manual,60000,1,1
Micheal,Blanco,1973-02-17,M,M,micheal11@adventure-works.com,Bachelors,Professional,70000,5,2
Leslie,Moreno,1967-11-25,S,F,leslie7@adventure-works.com,Partial College,Skilled Manual,70000,5,2
Alvin,Cai,1967-08-12,M,M,alvin20@adventure-works.com,Partial College,Skilled Manual,70000,5,2
Clinton,Carlson,1979-04-02,M,M,clinton14@adventure-works.com,Partial College,Skilled Manual,70000,5,2
April,Deng,1966-08-21,M,F,april1@adventure-works.com,Partial College,Skilled Manual,70000,5,3
Alvin,Zeng,1962-12-31,S,M,alvin21@adventure-works.com,Partial College,Skilled Manual,80000,1,1
Evan,James,1940-10-07,S,M,evan8@adventure-works.com,Partial College,Clerical,30000,2,2
Beth,Jiménez,1942-02-06,S,F,beth8@adventure-works.com,Bachelors,Management,40000,2,1
Orlando,Suarez,1966-05-18,M,M,orlando19@adventure-works.com,Partial College,Skilled Manual,70000,5,3
Byron,Vazquez,1965-09-30,M,M,byron9@adventure-works.com,Partial College,Skilled Manual,70000,5,3
Philip,Alvarez,1965-12-18,M,M,philip4@adventure-works.com,Partial College,Skilled Manual,70000,5,3
Ross,Jordan,1968-07-23,S,M,ross1@adventure-works.com,Partial College,Skilled Manual,80000,1,1
Dana,Navarro,1961-10-06,S,F,dana2@adventure-works.com,Partial College,Skilled Manual,70000,1,1
Shaun,Carson,1954-10-05,M,M,shaun16@adventure-works.com,High School,Skilled Manual,10000,2,2
Jan,Edwards,1981-04-19,M,F,jan11@adventure-works.com,High School,Skilled Manual,40000,0,1
Samantha,Long,1981-06-03,M,F,samantha35@adventure-works.com,High School,Skilled Manual,40000,0,1
Julia,Wright,1981-02-01,S,F,julia17@adventure-works.com,High School,Skilled Manual,40000,0,1
Caroline,Russell,1985-07-05,M,F,caroline21@adventure-works.com,High School,Skilled Manual,30000,0,2
Amanda,Rivera,1985-09-09,M,F,amanda7@adventure-works.com,High School,Skilled Manual,30000,0,2
Melissa,Richardson,1986-04-25,S,F,melissa31@adventure-works.com,High School,Skilled Manual,30000,0,2
Angela,Griffin,1986-03-08,S,F,angela23@adventure-works.com,Partial High School,Clerical,30000,0,2
Larry,Townsend,1957-02-22,S,M,larry14@adventure-works.com,High School,Skilled Manual,10000,5,2
Marcus,Harris,1985-05-02,S,M,marcus14@adventure-works.com,Partial High School,Clerical,30000,0,2
Brianna,Morgan,1984-04-24,S,F,brianna30@adventure-works.com,High School,Skilled Manual,40000,0,2
Jasmine,Taylor,1984-01-17,M,F,jasmine7@adventure-works.com,High School,Skilled Manual,40000,0,2
Lauren,Davis,1984-03-14,M,F,lauren23@adventure-works.com,High School,Skilled Manual,40000,0,2
Tanya,Moreno,1949-11-05,S,F,tanya2@adventure-works.com,Partial College,Clerical,30000,2,2
Javier,Alvarez,1982-08-11,S,M,javier1@adventure-works.com,Partial High School,Clerical,30000,0,2
Nicole,Ramirez,1982-12-19,M,F,nicole42@adventure-works.com,High School,Skilled Manual,40000,0,2
Eduardo,Patterson,1983-02-11,S,M,eduardo55@adventure-works.com,High School,Skilled Manual,40000,0,2
Jonathan,Henderson,1982-08-04,M,M,jonathan4@adventure-works.com,High School,Skilled Manual,40000,0,2
Edward,Hernandez,1985-03-08,S,M,edward48@adventure-works.com,High School,Skilled Manual,40000,0,2
Jasmine,Coleman,1985-06-06,S,F,jasmine46@adventure-works.com,High School,Skilled Manual,40000,0,2
Karla,Goel,1945-02-22,S,F,karla20@adventure-works.com,Bachelors,Management,40000,2,2
Ernest,Wu,1944-08-04,M,M,ernest6@adventure-works.com,Graduate Degree,Management,60000,2,1
Ross,Vazquez,1947-02-13,M,M,ross32@adventure-works.com,Bachelors,Management,40000,2,2
Theodore,Gill,1946-10-18,M,M,theodore14@adventure-works.com,Bachelors,Management,40000,2,2
Russell,Shen,1946-09-12,S,M,russell6@adventure-works.com,Bachelors,Management,40000,2,2
Melinda,Gill,1947-08-25,S,F,melinda9@adventure-works.com,Graduate Degree,Management,60000,2,1
James,Williams,1981-07-09,S,M,james77@adventure-works.com,High School,Skilled Manual,40000,0,2
Angela,James,1981-12-21,M,F,angela34@adventure-works.com,High School,Skilled Manual,40000,0,2
Megan,Walker,1982-02-18,S,F,megan25@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Hunter,Robinson,1981-07-25,S,M,hunter50@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Maria,Roberts,1981-08-06,S,F,maria47@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Hannah,Long,1980-12-08,M,F,hannah32@adventure-works.com,High School,Skilled Manual,40000,0,2
Jason,Wright,1981-04-06,S,M,jason46@adventure-works.com,High School,Skilled Manual,40000,0,2
Brianna,Hughes,1981-03-16,S,F,brianna57@adventure-works.com,High School,Skilled Manual,40000,0,2
Maurice,Tang,1979-07-08,S,M,maurice4@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Emily,Wood,1979-10-20,S,F,emily27@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Chase,Cox,1979-09-02,S,M,chase10@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Gabriel,Wang,1980-06-18,M,M,gabriel21@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Devin,Brooks,1979-11-02,S,M,devin63@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Jocelyn,Alexander,1979-01-15,M,F,jocelyn18@adventure-works.com,Partial College,Skilled Manual,60000,0,1
Ashley,Martinez,1977-10-22,S,F,ashley18@adventure-works.com,Partial College,Skilled Manual,70000,0,2
Jasmine,Barnes,1978-01-29,S,F,jasmine43@adventure-works.com,Bachelors,Management,80000,0,1
David,Rodriguez,1973-11-12,S,M,david83@adventure-works.com,Bachelors,Management,80000,0,1
Bryce,Richardson,1973-12-20,M,M,bryce8@adventure-works.com,Bachelors,Management,90000,4,1
Carol,Howard,1973-08-04,M,F,carol5@adventure-works.com,Bachelors,Management,90000,4,1
Jonathan,Hill,1978-10-05,S,M,jonathan43@adventure-works.com,Bachelors,Management,100000,1,2
Gabrielle,Adams,1973-05-20,M,F,gabrielle58@adventure-works.com,Bachelors,Management,100000,1,2
Sarah,Thomas,1973-02-28,S,F,sarah13@adventure-works.com,Graduate Degree,Management,110000,0,4
Nicholas,Robinson,1973-01-09,M,M,nicholas19@adventure-works.com,Graduate Degree,Management,110000,0,0
Luis,Wang,1968-09-01,S,M,luis24@adventure-works.com,Partial College,Skilled Manual,70000,0,2
Mason,Roberts,1979-01-21,M,M,mason25@adventure-works.com,Bachelors,Management,90000,4,1
Jose,Flores,1948-01-01,M,M,jose6@adventure-works.com,Graduate Degree,Management,110000,2,2
Nathan,Johnson,1954-08-20,M,M,nathan55@adventure-works.com,Graduate Degree,Management,100000,2,3
Molly,Rodriguez,1959-12-08,M,F,molly18@adventure-works.com,Graduate Degree,Management,120000,2,3
April,Anand,1948-07-01,M,F,april18@adventure-works.com,Bachelors,Management,160000,1,4
Devin,Martin,1960-02-01,M,M,devin13@adventure-works.com,Graduate Degree,Management,170000,2,2
Stephanie,Torres,1950-02-22,S,F,stephanie19@adventure-works.com,Bachelors,Management,70000,4,2
Jasmine,Lee,1950-01-12,S,F,jasmine19@adventure-works.com,Bachelors,Management,70000,4,2
Meghan,Hernandez,1955-11-13,S,F,meghan3@adventure-works.com,Bachelors,Management,70000,4,2
Ashley,Henderson,1950-04-07,S,F,ashley31@adventure-works.com,Bachelors,Management,70000,4,2
Sarah,Price,1949-11-18,S,F,sarah25@adventure-works.com,Bachelors,Management,70000,4,2
Jennifer,Cooper,1949-08-21,M,F,jennifer63@adventure-works.com,Graduate Degree,Management,60000,4,2
Catherine,Morris,1950-03-06,M,F,catherine16@adventure-works.com,Graduate Degree,Management,60000,4,2
Lawrence,Blanco,1950-01-12,S,M,lawrence14@adventure-works.com,Graduate Degree,Management,60000,4,2
Carson,Bryant,1949-12-20,M,M,carson17@adventure-works.com,Bachelors,Management,70000,5,2
Kristi,Perez,1951-06-17,S,F,kristi39@adventure-works.com,Bachelors,Management,70000,5,3
James,Brown,1951-03-13,M,M,james79@adventure-works.com,Bachelors,Management,60000,4,2
Ian,Gray,1950-08-13,M,M,ian72@adventure-works.com,Bachelors,Management,60000,4,2
Jacqueline,Price,1950-12-08,M,F,jacqueline0@adventure-works.com,Bachelors,Management,60000,4,2
Megan,Henderson,1951-08-10,M,F,megan55@adventure-works.com,Bachelors,Management,60000,5,3
Alfredo,Romero,1951-12-05,M,M,alfredo10@adventure-works.com,Bachelors,Management,60000,5,3
Andrea,Morris,1951-12-16,M,F,andrea18@adventure-works.com,Bachelors,Management,70000,3,1
Brooke,Sanders,1952-05-25,S,F,brooke3@adventure-works.com,Bachelors,Management,70000,4,1
Jacqueline,Bennett,1957-11-02,M,F,jacqueline1@adventure-works.com,Bachelors,Management,70000,4,1
Jason,Griffin,1953-05-21,M,M,jason18@adventure-works.com,Bachelors,Management,70000,4,1
Amanda,Foster,1953-02-14,M,F,amanda37@adventure-works.com,Bachelors,Management,70000,4,1
Alexia,Price,1958-08-22,M,F,alexia0@adventure-works.com,Bachelors,Management,80000,5,2
Luis,Diaz,1959-08-18,M,M,luis21@adventure-works.com,High School,Professional,40000,2,2
Destiny,Rivera,1953-11-29,M,F,destiny33@adventure-works.com,High School,Professional,40000,2,2
Abby,Fernandez,1954-01-21,M,F,abby13@adventure-works.com,High School,Professional,40000,2,2
Blake,Flores,1954-03-24,M,M,blake60@adventure-works.com,Partial College,Professional,60000,2,1
Danielle,Cox,1954-01-16,S,F,danielle12@adventure-works.com,Partial College,Professional,60000,2,1
Maria,Reed,1953-08-03,M,F,maria4@adventure-works.com,Bachelors,Management,60000,2,0
Allison,Evans,1953-07-12,M,F,allison21@adventure-works.com,Bachelors,Management,60000,2,0
Edward,Wood,1953-12-06,M,M,edward50@adventure-works.com,Partial College,Professional,70000,4,2
Samantha,Russell,1960-10-08,M,F,samantha42@adventure-works.com,High School,Professional,40000,2,2
Chloe,Campbell,1955-05-05,M,F,chloe4@adventure-works.com,High School,Professional,40000,2,2
Stephanie,Murphy,1954-11-11,S,F,stephanie11@adventure-works.com,Partial College,Professional,60000,2,2
Charles,Miller,1955-05-07,S,M,charles9@adventure-works.com,Partial College,Professional,60000,2,2
Ana,Perry,1961-06-17,M,F,ana7@adventure-works.com,Partial High School,Skilled Manual,40000,2,2
Jasmine,Torres,1955-11-17,S,F,jasmine32@adventure-works.com,Partial College,Professional,60000,2,2
Natalie,Adams,1955-08-11,S,F,natalie58@adventure-works.com,Partial College,Professional,60000,2,2
Olivia,Brown,1961-09-07,S,F,olivia4@adventure-works.com,Partial College,Professional,60000,2,2
Charles,Cook,1956-05-31,M,M,charles69@adventure-works.com,High School,Professional,60000,2,2
Erica,Huang,1961-02-19,M,F,erica5@adventure-works.com,Partial College,Professional,60000,2,1
Nathan,Perry,1955-12-08,M,M,nathan3@adventure-works.com,Partial College,Professional,70000,4,1
Alexandra,Rivera,1956-02-14,M,F,alexandra11@adventure-works.com,Bachelors,Management,80000,3,1
Hailey,Patterson,1957-03-15,S,F,hailey30@adventure-works.com,High School,Professional,70000,2,2
Tiffany,Li,1957-03-05,S,F,tiffany3@adventure-works.com,High School,Professional,70000,2,2
Madison,Lee,1962-02-12,M,F,madison22@adventure-works.com,Partial College,Professional,60000,2,1
Sydney,Ross,1962-09-23,M,F,sydney26@adventure-works.com,Partial College,Professional,60000,2,1
Marshall,Chavez,1962-08-08,S,M,marshall35@adventure-works.com,Partial College,Professional,60000,2,2
Ashley,Jones,1956-10-16,M,F,ashley3@adventure-works.com,Partial College,Professional,60000,2,2
Adrian,Stewart,1957-06-01,S,M,adrian21@adventure-works.com,Partial College,Professional,70000,4,1
Amber,Turner,1956-09-30,M,F,amber4@adventure-works.com,Partial College,Professional,70000,4,2
Dennis,Zhang,1963-11-11,M,M,dennis1@adventure-works.com,High School,Professional,60000,2,2
Hailey,Bryant,1958-03-27,M,F,hailey38@adventure-works.com,High School,Professional,60000,3,2
Todd,Li,1963-09-06,M,M,todd5@adventure-works.com,Partial College,Professional,70000,4,2
Anna,Griffin,1958-05-19,S,F,anna46@adventure-works.com,Partial College,Professional,70000,4,2
Angel,Stewart,1957-08-07,M,M,angel24@adventure-works.com,Partial College,Professional,70000,4,2
Jeremy,Butler,1957-09-02,S,M,jeremy29@adventure-works.com,Partial College,Professional,70000,5,2
Clarence,Anand,1964-03-22,S,M,clarence36@adventure-works.com,Bachelors,Management,130000,2,4
Mayra,Prasad,1964-02-07,S,F,mayra9@adventure-works.com,Bachelors,Management,130000,2,4
Latoya,Goel,1969-10-02,M,F,latoya18@adventure-works.com,Partial College,Professional,130000,2,2
Anne,Hernandez,1964-06-09,M,F,anne4@adventure-works.com,Partial College,Professional,160000,2,4
Lisa,Cai,1974-04-06,S,F,lisa24@adventure-works.com,Partial College,Professional,100000,2,4
Larry,Munoz,1963-05-11,M,M,larry9@adventure-works.com,Partial College,Professional,110000,2,3
Robin,Alvarez,1963-04-08,M,F,robin2@adventure-works.com,Partial College,Professional,150000,2,3
Alexis,Coleman,1968-11-22,S,F,alexis28@adventure-works.com,Bachelors,Management,170000,2,3
Ricky,Vazquez,1962-04-26,M,M,ricky15@adventure-works.com,High School,Professional,120000,3,4
Latasha,Rubio,1962-04-08,M,F,latasha21@adventure-works.com,High School,Professional,120000,3,4
Claudia,Zhou,1961-12-04,S,F,claudia7@adventure-works.com,Partial College,Professional,130000,3,3
Tristan,Alexander,1966-03-22,M,M,tristan19@adventure-works.com,Partial College,Professional,110000,3,4
Cindy,Patel,1966-07-09,M,F,cindy3@adventure-works.com,Partial College,Professional,130000,3,3
Shannon,Liu,1966-03-08,M,F,shannon4@adventure-works.com,High School,Professional,170000,3,2
Xavier,Long,1938-01-01,S,M,xavier51@adventure-works.com,High School,Professional,30000,4,2
Nicholas,Thompson,1937-12-05,S,M,nicholas16@adventure-works.com,Graduate Degree,Management,90000,3,1
José,Hernandez,1949-08-24,M,M,josé54@adventure-works.com,Graduate Degree,Management,60000,2,2
Johnathan,Vance,1938-08-31,M,M,johnathan5@adventure-works.com,Graduate Degree,Management,70000,4,2
Colin,Lin,1938-10-02,M,M,colin8@adventure-works.com,Graduate Degree,Management,70000,4,2
Katelyn,Hernandez,1939-03-20,M,F,katelyn42@adventure-works.com,Graduate Degree,Management,70000,4,2
Jacqueline,Powell,1938-07-06,S,F,jacqueline9@adventure-works.com,Graduate Degree,Management,120000,1,4
Xavier,Hill,1938-12-26,M,M,xavier26@adventure-works.com,Graduate Degree,Management,120000,1,4
Victoria,Stewart,1970-09-24,M,F,victoria24@adventure-works.com,Partial College,Professional,100000,4,4
Katelyn,Kelly,1976-04-08,M,F,katelyn1@adventure-works.com,Bachelors,Management,110000,2,3
Stephanie,Collins,1970-10-22,M,F,stephanie52@adventure-works.com,Graduate Degree,Management,130000,1,1
Jennifer,Simmons,1975-05-01,M,F,jennifer88@adventure-works.com,Bachelors,Management,80000,4,0
Trinity,Richardson,1970-03-11,M,F,trinity9@adventure-works.com,Partial College,Professional,90000,5,3
Eduardo,Martin,1969-12-15,S,M,eduardo13@adventure-works.com,Partial College,Professional,90000,5,3
Elizabeth,Jones,1970-01-10,M,F,elizabeth7@adventure-works.com,Partial College,Professional,90000,5,3
Taylor,Howard,1969-11-02,S,F,taylor14@adventure-works.com,Partial College,Professional,90000,0,1
David,Diaz,1975-09-29,S,M,david55@adventure-works.com,Partial College,Professional,120000,4,4
Katelyn,Carter,1969-10-31,M,F,katelyn33@adventure-works.com,Graduate Degree,Management,130000,2,2
Ryan,Foster,1975-10-10,M,M,ryan19@adventure-works.com,Graduate Degree,Management,130000,2,2
Robert,Lee,1975-05-01,M,M,robert82@adventure-works.com,Graduate Degree,Management,130000,2,3
Danielle,Reed,1969-12-03,S,F,danielle23@adventure-works.com,Bachelors,Management,150000,2,4
Lauren,Martinez,1962-05-10,S,F,lauren35@adventure-works.com,Partial College,Professional,70000,4,0
Nathan,Lal,1962-03-31,M,M,nathan26@adventure-works.com,Partial College,Professional,90000,2,0
Kyle,Foster,1939-10-10,M,M,kyle11@adventure-works.com,Graduate Degree,Management,50000,2,2
